CustomerID,FirstName,LastName,Email,City,JoinDate
2485,First0,Last0,user0@example.com,London,2023-02-03 17:29:02.345875
1022,First1,Last1,user1@example.com,Glasgow,2023-01-12 17:29:02.345875
2425,First2,Last2,user2@example.com,Leeds,2023-07-02 17:29:02.345875
1573,First3,Last3,user3@example.com,Manchester,2023-04-05 17:29:02.345875
1486,First4,Last4,user4@example.com,Manchester,2025-01-27 17:29:02.345875
1606,First5,Last5,user5@example.com,Glasgow,2023-05-31 17:29:02.345875
512,First6,Last6,user6@example.com,London,2023-07-27 17:29:02.345875
821,First7,Last7,user7@example.com,Bristol,2024-01-22 17:29:02.345875
2061,First8,Last8,user8@example.com,Glasgow,2024-07-08 17:29:02.345875
1766,First9,Last9,user9@example.com,Bristol,2024-06-24 17:29:02.345875
1327,First10,Last10,user10@example.com,Bristol,2024-06-11 17:29:02.345875
1039,First11,Last11,user11@example.com,Bristol,2025-03-15 17:29:02.345875
2363,First12,Last12,user12@example.com,Leeds,2023-06-24 17:29:02.345875
977,First13,Last13,user13@example.com,Glasgow,2024-04-03 17:29:02.345875
1175,First14,Last14,user14@example.com,Glasgow,2024-03-30 17:29:02.345875
1255,First15,Last15,user15@example.com,Manchester,2024-12-15 17:29:02.345875
1514,First16,Last16,user16@example.com,London,2022-10-21 17:29:02.345875
773,First17,Last17,user17@example.com,Manchester,2022-12-27 17:29:02.345875
1433,First18,Last18,user18@example.com,London,2024-07-25 17:29:02.345875
1045,First19,Last19,user19@example.com,Glasgow,2025-03-11 17:29:02.345875
2316,First20,Last20,user20@example.com,Leeds,2024-05-15 17:29:02.345875
2145,First21,Last21,user21@example.com,London,2023-11-15 17:29:02.345875
1379,First22,Last22,user22@example.com,Manchester,2024-01-05 17:29:02.345875
2335,First23,Last23,user23@example.com,Manchester,2024-10-03 17:29:02.345875
960,First24,Last24,user24@example.com,Glasgow,2023-05-25 17:29:02.345875
782,First25,Last25,user25@example.com,Bristol,2024-06-04 17:29:02.345875
757,First26,Last26,user26@example.com,Glasgow,2024-10-15 17:29:02.345875
2486,First27,Last27,user27@example.com,Manchester,2022-10-22 17:29:02.345875
2370,First28,Last28,user28@example.com,London,2023-01-12 17:29:02.345875
1203,First29,Last29,user29@example.com,London,2023-01-05 17:29:02.345875
1045,First30,Last30,user30@example.com,Bristol,2022-11-18 17:29:02.345875
1704,First31,Last31,user31@example.com,Glasgow,2023-10-19 17:29:02.345875
577,First32,Last32,user32@example.com,Bristol,2024-01-22 17:29:02.345875
2095,First33,Last33,user33@example.com,Leeds,2022-12-18 17:29:02.345875
1733,First34,Last34,user34@example.com,Bristol,2024-09-10 17:29:02.345875
793,First35,Last35,user35@example.com,London,2022-11-08 17:29:02.345875
2484,First36,Last36,user36@example.com,Leeds,2024-06-23 17:29:02.345875
2295,First37,Last37,user37@example.com,Bristol,2024-10-31 17:29:02.345875
1284,First38,Last38,user38@example.com,London,2024-04-27 17:29:02.345875
1713,First39,Last39,user39@example.com,Glasgow,2023-11-11 17:29:02.345875
656,First40,Last40,user40@example.com,Manchester,2024-08-30 17:29:02.345875
2176,First41,Last41,user41@example.com,Manchester,2025-01-30 17:29:02.345875
1023,First42,Last42,user42@example.com,Glasgow,2024-06-08 17:29:02.345875
1641,First43,Last43,user43@example.com,Glasgow,2023-03-22 17:29:02.345875
1403,First44,Last44,user44@example.com,Leeds,2022-12-05 17:29:02.345875
2166,First45,Last45,user45@example.com,Leeds,2023-05-14 17:29:02.345875
2470,First46,Last46,user46@example.com,Leeds,2024-03-10 17:29:02.345875
1291,First47,Last47,user47@example.com,Leeds,2023-06-11 17:29:02.345875
2485,First48,Last48,user48@example.com,Bristol,2023-06-05 17:29:02.345875
2249,First49,Last49,user49@example.com,Glasgow,2023-06-18 17:29:02.345875
1447,First50,Last50,user50@example.com,Bristol,2024-05-07 17:29:02.345875
2330,First51,Last51,user51@example.com,Glasgow,2023-11-30 17:29:02.345875
2126,First52,Last52,user52@example.com,Leeds,2024-11-12 17:29:02.345875
1195,First53,Last53,user53@example.com,London,2023-05-01 17:29:02.345875
1277,First54,Last54,user54@example.com,Manchester,2023-06-22 17:29:02.345875
1602,First55,Last55,user55@example.com,Leeds,2025-03-25 17:29:02.345875
613,First56,Last56,user56@example.com,Manchester,2024-04-07 17:29:02.345875
2188,First57,Last57,user57@example.com,Glasgow,2024-05-28 17:29:02.345875
521,First58,Last58,user58@example.com,Manchester,2024-04-17 17:29:02.345875
699,First59,Last59,user59@example.com,London,2024-09-21 17:29:02.345875
743,First60,Last60,user60@example.com,London,2024-01-16 17:29:02.345875
1501,First61,Last61,user61@example.com,Leeds,2024-09-03 17:29:02.345875
2047,First62,Last62,user62@example.com,Leeds,2022-12-18 17:29:02.345875
1605,First63,Last63,user63@example.com,Leeds,2023-04-04 17:29:02.345875
1716,First64,Last64,user64@example.com,Leeds,2024-12-08 17:29:02.345875
1854,First65,Last65,user65@example.com,Leeds,2023-07-10 17:29:02.345875
1802,First66,Last66,user66@example.com,Glasgow,2022-10-10 17:29:02.345875
880,First67,Last67,user67@example.com,London,2024-11-20 17:29:02.345875
1242,First68,Last68,user68@example.com,London,2025-01-01 17:29:02.345875
1175,First69,Last69,user69@example.com,Manchester,2022-12-15 17:29:02.345875
1871,First70,Last70,user70@example.com,Manchester,2022-10-13 17:29:02.345875
1445,First71,Last71,user71@example.com,London,2023-07-10 17:29:02.345875
983,First72,Last72,user72@example.com,Glasgow,2024-01-16 17:29:02.345875
2067,First73,Last73,user73@example.com,London,2025-01-12 17:29:02.345875
2154,First74,Last74,user74@example.com,Glasgow,2025-01-01 17:29:02.345875
1169,First75,Last75,user75@example.com,Glasgow,2023-09-17 17:29:02.345875
1521,First76,Last76,user76@example.com,Manchester,2023-01-25 17:29:02.345875
1750,First77,Last77,user77@example.com,Glasgow,2022-12-13 17:29:02.345875
1324,First78,Last78,user78@example.com,Glasgow,2023-01-03 17:29:02.345875
695,First79,Last79,user79@example.com,Leeds,2024-02-13 17:29:02.345875
1648,First80,Last80,user80@example.com,Manchester,2023-09-08 17:29:02.345875
1179,First81,Last81,user81@example.com,Glasgow,2024-09-12 17:29:02.345875
2406,First82,Last82,user82@example.com,Glasgow,2025-02-28 17:29:02.345875
2432,First83,Last83,user83@example.com,London,2023-09-28 17:29:02.345875
1036,First84,Last84,user84@example.com,Bristol,2024-01-18 17:29:02.345875
2295,First85,Last85,user85@example.com,Leeds,2023-09-22 17:29:02.345875
1300,First86,Last86,user86@example.com,Bristol,2023-08-10 17:29:02.345875
2069,First87,Last87,user87@example.com,Leeds,2023-05-19 17:29:02.345875
1473,First88,Last88,user88@example.com,Manchester,2024-04-03 17:29:02.345875
2340,First89,Last89,user89@example.com,London,2024-08-04 17:29:02.345875
1781,First90,Last90,user90@example.com,Manchester,2025-03-24 17:29:02.345875
1935,First91,Last91,user91@example.com,London,2024-10-27 17:29:02.345875
1346,First92,Last92,user92@example.com,Leeds,2024-02-11 17:29:02.345875
1514,First93,Last93,user93@example.com,Bristol,2024-05-30 17:29:02.345875
2339,First94,Last94,user94@example.com,London,2023-10-26 17:29:02.345875
807,First95,Last95,user95@example.com,Manchester,2024-03-09 17:29:02.345875
2463,First96,Last96,user96@example.com,Glasgow,2024-10-24 17:29:02.345875
1146,First97,Last97,user97@example.com,Manchester,2023-12-07 17:29:02.345875
2105,First98,Last98,user98@example.com,Bristol,2023-09-26 17:29:02.345875
973,First99,Last99,user99@example.com,Leeds,2023-03-30 17:29:02.345875
